# Telugu Audio Description Script
# Format: gap_start_seconds | gap_end_seconds | Telugu text
# Lines starting with # are ignored.
# Paste your lines below:
0.0 | 9.0 | సీఐ దయానంద్ జీప్ నుంచి దిగిపోయి తన కార్‌లో కూర్చుంటాడు. చారులత ముందు సీటులో కూర్చుంటుంది.

10.0 | 12.0 | దయానంద్ కార్‌ను రివర్స్‌లో తీస్తూ వెనుక ఉన్న కార్‌ను ఢీకొడతాడు. కెమెరా సూర్య వైపు మారుతుంది.

17.0 | 25.0 | దయానంద్ ఢీకొట్టిన కార్‌లోని మహిళను కోపంగా చూస్తూ ఆమె వైపు నడుచుకుంటూ వెళ్తాడు.

35.0 | 39.0 | అతను ఆమె కళ్లలోకి కోపంగా చూస్తూ నిలబడుతాడు.

51.0 | 55.0 | చారులత కార్ ముందు నిలబడగా, ఎస్ఐ సుధాకర్ కార్ వెనుక నిలుస్తాడు.

64.0 | 73.0 | దయానంద్ కార్‌ను ముందుకు తీసుకెళ్లి మళ్లీ రివర్స్‌లో వచ్చి అదే కార్‌ను బలంగా ఢీకొడతాడు.

81.0 | 100.0 | కార్‌లోని మహిళ బయటకు రావడానికి ప్రయత్నిస్తుంది కానీ డోర్ తెరుచుకోదు. సూర్య పెట్రోల్ నింపిన బాటిల్‌తో అక్కడికి వస్తుండగా, దయానంద్ కార్‌ను మళ్లీ మళ్లీ ఢీకొడుతూనే ఉంటాడు.

114.0 | 128.0 | సూర్య కార్ కింద పెట్రోల్ పోసి బాటిల్‌ను పక్కకు విసిరేస్తాడు. సూర్యను గమనించిన దయానంద్ కార్‌ నుంచి దిగిపోయి అతని దగ్గరకు వచ్చి కళ్లలోకి కోపంగా చూస్తూ నిలబడుతాడు.

130.0 | 159.0 | తీవ్ర ఉద్రిక్తత మధ్య దయానంద్, సూర్య ఇద్దరూ ఒకరినొకరు కోపంగా చూస్తుంటారు.
